TITLE	p-GaN-NP
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/03
TIME	16:56:37
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  850.0000
LASTX	  250.0000
NPOINTS	    6001
FIRSTY	    76.30771
MAXY	    79.46679
MINY	     0.00225
XYDATA
740.1000	74.4374
740.0000	74.6416
739.9000	74.7762
739.8000	74.9152
739.7000	75.0524
739.6000	75.1924
739.5000	75.3272
739.4000	75.4608
739.3000	75.5968
739.2000	75.727
739.1000	75.8638
739.0000	75.9944
738.9000	76.1244
738.8000	76.2503
738.7000	76.3838
738.6000	76.514
738.5000	76.6415
738.4000	76.7528
738.3000	76.8708
738.2000	76.9843
738.1000	77.1036
738.0000	77.22
737.9000	77.3319
737.8000	77.4462
737.7000	77.5513
737.6000	77.6592
737.5000	77.752
737.4000	77.8503
737.3000	77.9487
737.2000	78.0414
737.1000	78.1296
737.0000	78.2116
736.9000	78.2922
736.8000	78.3776
736.7000	78.4556
736.6000	78.5299
736.5000	78.6005
736.4000	78.6672
736.3000	78.7334
736.2000	78.79
736.1000	78.847
736.0000	78.8947
735.9000	78.9476
735.8000	78.9914
735.7000	79.029
735.6000	79.06
735.5000	79.0847
735.4000	79.1122
735.3000	79.1345
735.2000	79.148
735.1000	79.1601
735.0000	79.1671
734.9000	79.1715
734.8000	79.1674
734.7000	79.1585
734.6000	79.1468
734.5000	79.1289
734.4000	79.11
734.3000	79.0839
734.2000	79.059
734.1000	79.0255
734.0000	78.9939
733.9000	78.9523
733.8000	78.9061
733.7000	78.8564
733.6000	78.8026
733.5000	78.7377
733.4000	78.6798
733.3000	78.6142
733.2000	78.5463
733.1000	78.4744
733.0000	78.3975
732.9000	78.3194
732.8000	78.2325
732.7000	78.1484
732.6000	78.058
732.5000	77.9644
732.4000	77.8655
732.3000	77.768
732.2000	77.6656
732.1000	77.5579
732.0000	77.456
731.9000	77.3506
731.8000	77.2359
731.7000	77.1216
731.6000	76.9996
731.5000	76.8791
731.4000	76.7557
731.3000	76.6318
731.2000	76.511
731.1000	76.3824
731.0000	76.255
730.9000	76.1219
730.8000	75.9908
730.7000	75.8593
730.6000	75.7267
730.5000	75.5965
730.4000	75.4583
730.3000	75.3238
